date,rank,title,artist,collab
8/18/90,1,Vision Of Love,Mariah Carey,
8/18/90,2,Come Back To Me,Janet Jackson,
8/18/90,3,If Wishes Came True,Sweet Sensation,
8/18/90,4,The Power,Snap,
8/18/90,5,Unskinny Bop,Poison,
8/18/90,6,"Blaze Of Glory (From ""Young Guns II"")",Jon Bon Jovi,
8/18/90,7,Do Me!,Bell Biv Devoe,
8/18/90,8,Have You Seen Her,M.C. Hammer,
8/18/90,9,"Cradle Of Love (From ""Ford Fairlane"")",Billy Idol,
8/18/90,10,"King Of Wishful Thinking (From ""Pretty Woman"")",Go West,
8/25/90,1,Vision Of Love,Mariah Carey,
8/25/90,2,Come Back To Me,Janet Jackson,
8/25/90,3,If Wishes Came True,Sweet Sensation,
8/25/90,4,Unskinny Bop,Poison,
8/25/90,5,"Blaze Of Glory (From ""Young Guns II"")",Jon Bon Jovi,
8/25/90,6,Release Me,Wilson Phillips,
8/25/90,7,Do Me!,Bell Biv Devoe,
8/25/90,8,Have You Seen Her,M.C. Hammer,
8/25/90,9,Jerk Out,The Time,
8/25/90,10,Epic,Faith No More,
9/1/90,1,If Wishes Came True,Sweet Sensation,
9/1/90,2,"Blaze Of Glory (From ""Young Guns II"")",Jon Bon Jovi,
9/1/90,3,Unskinny Bop,Poison,
9/1/90,4,Release Me,Wilson Phillips,
9/1/90,5,Do Me!,Bell Biv Devoe,
9/1/90,6,Come Back To Me,Janet Jackson,
9/1/90,7,Have You Seen Her,M.C. Hammer,
9/1/90,8,Vision Of Love,Mariah Carey,
9/1/90,9,Jerk Out,The Time,
9/1/90,10,Tonight,New Kids On The Block,
9/8/90,1,"Blaze Of Glory (From ""Young Guns II"")",Jon Bon Jovi,
9/8/90,2,Release Me,Wilson Phillips,
9/8/90,3,Do Me!,Bell Biv Devoe,
9/8/90,4,Unskinny Bop,Poison,
9/8/90,5,If Wishes Came True,Sweet Sensation,
9/8/90,6,Have You Seen Her,M.C. Hammer,
9/8/90,7,Tonight,New Kids On The Block,
9/8/90,8,(Can t Live Without Your) Love And Affection,Nelson,
9/8/90,9,Epic,Faith No More,
9/8/90,10,Come Back To Me,Janet Jackson,
9/15/90,1,Release Me,Wilson Phillips,
9/15/90,2,"Blaze Of Glory (From ""Young Guns II"")",Jon Bon Jovi,
9/15/90,3,Do Me!,Bell Biv Devoe,
9/15/90,4,Have You Seen Her,M.C. Hammer,
9/15/90,5,Unskinny Bop,Poison,
9/15/90,6,(Can t Live Without Your) Love And Affection,Nelson,
9/15/90,7,Thieves In The Temple,The Artist,
9/15/90,8,If Wishes Came True,Sweet Sensation,
9/15/90,9,Tonight,New Kids On The Block,
9/15/90,10,Close To You,Maxi Priest,
9/22/90,1,Release Me,Wilson Phillips,
9/22/90,2,"Blaze Of Glory (From ""Young Guns II"")",Jon Bon Jovi,
9/22/90,3,Do Me!,Bell Biv Devoe,
9/22/90,4,(Can t Live Without Your) Love And Affection,Nelson,
9/22/90,5,Close To You,Maxi Priest,
9/22/90,6,Thieves In The Temple,The Artist,
9/22/90,7,Something Happened On The Way To Heaven,Phil Collins,
9/22/90,8,Praying For Time,George Michael,
9/22/90,9,Have You Seen Her,M.C. Hammer,
9/22/90,10,Unskinny Bop,Poison,
9/29/90,1,(Can t Live Without Your) Love And Affection,Nelson,
9/29/90,2,Close To You,Maxi Priest,
9/29/90,3,Release Me,Wilson Phillips,
9/29/90,4,"Blaze Of Glory (From ""Young Guns II"")",Jon Bon Jovi,
9/29/90,5,Praying For Time,George Michael,
9/29/90,6,Something Happened On The Way To Heaven,Phil Collins,
9/29/90,7,Do Me!,Bell Biv Devoe,
9/29/90,8,Thieves In The Temple,The Artist,
9/29/90,9,Oh Girl,Paul Young,
9/29/90,10,"My, My, My",Johnny Gill,
10/6/90,1,Close To You,Maxi Priest,
10/6/90,2,Praying For Time,George Michael,
10/6/90,3,(Can t Live Without Your) Love And Affection,Nelson,
10/6/90,4,Something Happened On The Way To Heaven,Phil Collins,
10/6/90,5,I Don t Have The Heart,James Ingram,
10/6/90,6,"Blaze Of Glory (From ""Young Guns II"")",Jon Bon Jovi,
10/6/90,7,Ice Ice Baby,Vanilla Ice,
10/6/90,8,Oh Girl,Paul Young,
10/6/90,9,Do Me!,Bell Biv Devoe,
10/6/90,10,Release Me,Wilson Phillips,
10/13/90,1,Praying For Time,George Michael,
10/13/90,2,Close To You,Maxi Priest,
10/13/90,3,I Don t Have The Heart,James Ingram,
